product_name,energy_100g,sugars_100g,fat_100g,proteins_100g,salt_100g,fiber_100g,carbohydrates_100g,nutrition_grade
Céréales complètes au chocolat noir intense,1925.0,17.0,19.0,9.6,0.17,9.1,58.0,c
Confiture de myrtille 70%,736.6,37.0,0.5,0.5,0.02,3.7,40.0,c
Full fat soft cheese,933.0,4.3,21.0,5.4,0.75,0.2,4.3,d
l'original,1961.0,0.0,53.0,0.0,0.42,0.0,0.0,d
Pain de mie extra-moelleux nature,1198.4,3.6,4.4,8.4,0.9,2.8,51.2,c
Yogur natural al estilo griego,540.0,3.9,10.8,3.9,0.12,0.0,3.9,c
4 filets de cabillaud panure croustillante,809.0,1.8,8.1,12.0,0.46,1.3,17.0,a
fondiz,1158.0,7.0,19.0,5.0,0.85,0.0,9.0,d
Dark Rye Crispbread,1477.14285714286,2.85714285714286,0.952380952380952,10.4761904761905,0.928571428571429,14.2857142857143,67.6190476190476,a
Weetabix,1446.25,4.0,2.0,11.25,0.24375,9.5,65.0,a
Cashew Nuts XXL,2488.0,6.5,47.6,20.5,0.02,5.2,19.8,b
Mozzarella Pizza-Roma,1176.0,0.8,21.0,21.0,1.0,,2.5,c
Boisson Amande,123.0,3.3,1.2,0.5,0.06,,4.6,c
Tortitas de maíz,1560.0,1.0,1.66666666666667,7.66666666666667,0.7,1.0,80.0,c
L'extra craquante nature,2190.0,0.61,34.0,5.9,1.3,4.5,47.0,d
Natural con Coco,224.5,2.1,3.0,3.9,0.32,0.8,2.4,b
Cassegrain - Lentilles préparées 4/4,394.0,0.5,0.5,6.6,0.76,3.1,14.0,b
Amande chocolat,245.9,7.2,1.9,0.8,0.08,0.7,9.2,e
Copos de trigo espelta integral 0%,1529.0,1.9,2.7,14.6,0.78,8.8,66.0,a
Ristorante Pizza Vegetale,796.2,3.5,7.9,6.7,0.97,2.0,22.0,c
Petits pains grillés blé complet,1717.0,4.2,10.0,10.0,1.1,6.9,66.0,c
Mung Dal,2108.0,1.0,17.5,22.7,135.0,,54.0,e
Plain Bagels,948.8,4.4,2.2,7.8,0.1875,2.6,42.0,a
Danone max,213.0,7.0,1.0,1.3,0.0,,9.2,not-applicable
Organic Bread 21 Whole Grains and Seeds,1249.84,10.71,3.57,10.71,0.9375,10.71,50.0,b
Secret d'arômes plein sud,968.0,19.0,7.4,16.0,44.6,5.8,23.0,e
Houmous bio,1249.4,0.9,26.6,7.6,0.9,,8.0,c
Flocons d'avoine,1566.0,0.7,7.0,14.0,0.01,10.0,59.0,a
Rye and mixed seed sourdough bread,1321.2,4.8,8.6,8.6,0.39,13.6,44.0,a
Kichererbsen,491.0,1.2,2.4,6.3,0.6,7.6,15.0,a
Galette Épeautre Son d'Avoine,1563.0,0.7,2.9,17.0,0.2,9.8,64.0,a
Pringles Original,2203.0,0.9,31.0,6.2,1.0,4.1,54.0,d
Yogur estilo griego natural,539.0,3.9,10.8,,,0.12,3.9,unknown
Sauce apéritif Guacamole,321.0,3.0,3.2,1.7,0.85,1.5,9.5,b
pringles hot & spicy,2065.66666666667,2.66666666666667,29.0,6.66666666666667,1.2,3.66666666666667,50.0,d
Yogur griego ligero,254.0,0.0,2.0,5.8,0.0,0.0,4.7,a
HIPRO Saveur Vanille-Cookie,246.0,5.1,0.4,8.3,0.17,,5.3,not-applicable
Fromage blanc,318.5,3.7,3.6,7.2,0.1,,3.7,b
Emmental râpé,1532.0,0.5,29.0,27.0,0.83,0.5,0.5,d
Quaker Cruesli Chocolat noisette,1847.0,16.0,16.0,7.4,0.0,10.0,62.0,c
4 Röstis de légumes et cheddar,491.0,1.9,6.2,3.9,0.4,2.4,10.0,b
kelloggs corn flakes,1604.3,8.0,0.9,7.0,1.1,3.0,84.0,d
Atún claro en aceite de oliva,1038.3,0.3,18.0,21.0,0.54,,0.9,a
Lays,2141.0,0.5,29.0,6.2,0.65,5.2,55.0,c
TAM THON - Huile,966.0,0.0,14.2,25.8,1.0,0.0,0.0,a
Yaourt chèvre nature,322.0,4.2,4.9,4.1,0.09,,4.2,c
Total 0%,226.1,3.0,0.0,10.3,0.1,0.0,3.0,a
Sonnenmais natursüß,325.0,5.5,1.7,2.6,0.28,2.8,11.5,b
Cereal mix 0% azúcares añadidos,1576.0,17.1,2.7,9.4,0.0,5.6,80.4,c
Lentilles façon petit salé,568.0,0.6,2.3,8.0,0.65,7.2,17.0,b
Tortillas sans gluten,1125.4,2.3,1.5,1.9,1.17,3.9,59.2,c
Muesli 50% frutas y frutos secos,1542.0,26.0,9.3,6.8,0.11,7.8,60.0,c
Coconut And Rice Milk,80.9,1.9,0.9,0.0,0.295,,2.8,c
Fanta orange 1.5l,203.0,11.7,0.0,0.0,0.0,0.0,11.7,e
Pesto verde,1838.0,1.8,46.0,2.6,1.7,4.2,3.2,d
