energy_100g,sugars_100g,fat_100g,proteins_100g,salt_100g,fiber_100g,carbohydrates_100g,label
502.0,1.6,10.0,1.2,0.04,1.0,5.9,Unhealthy
1685.2,5.0,6.0,12.0,1.12,4.4,72.0,Moderate
952.5,2.0,20.0,9.0,1.6,0.0,3.5,Unhealthy
589.12,0.48,0.64,2.24,0.01,0.64,30.72,Healthy
146.0,4.1,0.1,1.8,0.1,2.2,5.0,Healthy
1556.1,2.8,4.3,12.0,1.0,11.0,65.0,Healthy
1065.0,62.0,0.0,0.0,0.0,1.0,63.0,Unhealthy
1147.0,0.0,23.2,16.0,2.2,0.0,1.0,Unhealthy
257.0,5.5,1.2,2.7,0.0,1.5,9.9,Healthy
1136.0,4.2,7.5,12.8,0.84,7.4,34.2,Healthy
1989.2,18.0,20.0,10.0,0.03,7.4,60.0,Moderate
220.1,6.0,0.1,0.4,0.1,0.7,12.0,Moderate
781.0,2.0,7.5,7.5,1.2,8.7,18.0,Healthy
1521.0,3.5,2.0,13.0,0.01,3.0,71.0,Healthy
2706.66666666667,6.66666666666667,53.3333333333333,20.0,1.08333333333333,6.66666666666667,20.0,Moderate
1682.0,9.6,14.4,10.9,0.03,14.4,50.2,Healthy
904.0,1.2,15.0,15.0,2.2,3.2,4.3,Unhealthy
685.0,0.8,10.0,16.0,0.52,3.2,1.0,Healthy
723.4,1.9,16.0,3.1,0.1,0.7,4.3,Healthy
1628.0,3.5,6.0,13.0,1.1,10.0,65.0,Healthy
392.0,1.7,2.8,8.1,0.33,3.1,7.6,Healthy
1560.0,3.8,5.6,14.0,0.92,14.0,59.0,Healthy
322.4,14.0,1.1,2.1,0.0,1.0,14.0,Unhealthy
1126.5,0.6,21.6,6.4,0.9825,5.0,10.5,Healthy
745.0,2.4,7.3,4.5,0.83,3.1,22.0,Moderate
334.0,5.2,1.9,2.9,0.4,3.8,11.0,Healthy
93.0,4.3,0.1,0.2,0.01,0.3,5.0,Unhealthy
1584.0,14.2,6.8,9.9,0.03,8.6,64.4,Healthy
928.0,0.0,16.0,14.0,0.59,5.3,3.4,Healthy
707.0,0.0,18.0,1.0,3.0,2.3,0.0,Unhealthy
489.0,0.5,0.4,8.7,0.48,6.8,16.0,Healthy
1.0,0.0,40.0,8.0,20.0,0.0,63.0,Unhealthy
73.1,4.3,0.0,0.0,0.03,0.0,4.3,Unhealthy
3389.0,0.0,91.6,0.0,0.0,0.0,0.0,Healthy
3700.0,0.0,100.0,0.0,0.0,0.0,0.0,Healthy
2669.6,4.2,58.0,20.4,0.01,8.5,6.4,Moderate
1952.0,5.1,25.0,6.3,1.1,5.4,51.0,Moderate
1085.8,1.8,2.7,9.3,0.99,3.6,47.0,Moderate
606.0,0.2,2.8,29.6,0.33,0.0,0.2,Healthy
905.4,1.8,13.0,7.0,0.79,6.3,15.0,Healthy
453.0,1.5,4.1,6.6,0.53,6.4,8.1,Healthy
241.0,3.9,0.3,8.3,0.1475,0.1,4.5,Healthy
1788.0,6.3,16.8,13.6,0.03,8.7,50.9,Healthy
2092.0,45.0,25.0,5.0,0.5,5.0,60.0,Unhealthy
243.0,3.5,0.0,10.4,0.09,0.0,3.9,Healthy
1792.0,19.0,12.0,9.3,0.01,9.2,66.0,Moderate
326.0,1.4,4.4,3.5,0.6,1.7,5.3,Healthy
81.0,4.4,0.0,0.0,0.01,0.0,4.5,Unhealthy
1573.0,7.2,0.9,6.9,0.32,3.6,82.0,Moderate
76.5,4.0,0.0,0.0,0.06,0.0,4.5,Healthy
253.7,3.2,0.5,8.8,0.1,0.5,4.8,Healthy
1617.0,11.5,2.6,8.9,0.37,6.5,77.5,Healthy
605.0,0.6,9.0,14.0,0.0,2.5,0.8,Healthy
2619.0,4.6,55.9,22.2,0.07,12.8,4.6,Moderate
967.0,1.9,0.7,9.4,0.88,4.5,44.6,Healthy
245.1,11.0,0.6,0.5,0.0,1.3,12.0,Healthy
1604.0,8.0,0.9,7.0,1.1,3.0,84.0,Unhealthy
1510.0,3.1,1.6,14.5,0.005,2.9,69.5,Healthy
377.9,1.6,4.3,2.5,0.58,2.7,9.1,Healthy
1515.0,3.6,1.6,12.3,0.02,4.9,71.0,Healthy
1546.0,3.0,2.0,12.0,0.02,3.4,73.0,Healthy
1483.0,4.10256,2.0,12.0,0.25,9.74359,69.0,Healthy
250.0,3.8,0.7,3.6,0.77,4.2,7.6,Healthy
1628.0,2.0,1.1,7.4,0.45,2.7,85.0,Moderate
1065.7,3.0,3.9,8.8,0.7575,5.1,43.0,Healthy
965.126050420168,2.52100840336134,2.52100840336134,10.5042016806723,0.945378151260504,6.30252100840336,37.8151260504202,Healthy
1007.0,10.0,4.3,4.2,0.79,12.0,40.0,Healthy
2114.0,2.7,31.0,6.2,1.1,4.4,54.0,Unhealthy
1157.4,3.5,10.8,9.2,0.945,2.5,34.2,Unhealthy
1694.0,3.0,5.4,13.0,0.03,6.2,72.0,Healthy
230.0,11.0,0.5,0.5,0.1,1.1,13.0,Unhealthy
1620.7,4.4,6.0,17.5,2.2,9.3,60.4,Moderate
1259.5,2.0,5.2,9.1,1.0,1.0,53.2,Moderate
1559.5,18.0,5.5,11.0,0.28,8.0,65.0,Healthy
1006.5,2.7,2.8,7.5,0.7675,4.7,43.4,Healthy
1531.0,3.7,2.0,12.0,0.0,3.6,72.0,Healthy
923.0,4.0,20.0,6.3,0.99,0.5,4.4,Unhealthy
1564.0,1.0,7.0,12.0,0.01,10.0,60.0,Healthy
1886.66666666667,24.4444444444444,15.5555555555556,8.88888888888889,0.0444444444444444,5.11111111111111,66.6666666666667,Unhealthy
189.666666666667,8.7,0.5,0.5,0.01,0.5,9.33333333333333,Moderate
723.0,1.6,16.0,3.1,0.1,0.7,3.5,Healthy
322.0,10.2,2.1,3.7,0.06,0.0,10.5,Healthy
2646.0,5.0,53.0,27.0,0.0,7.0,10.0,Healthy
529.0,0.8,2.0,6.8,0.7,6.3,17.0,Healthy
2119.5,29.0,25.0,5.9,0.84,2.9,63.0,Unhealthy
1617.0,4.1,6.0,14.0,1.1,11.0,62.0,Healthy
990.7,1.5,1.3,7.9,0.7975,5.2,45.1,Healthy
1078.0,5.8,6.2,4.4,0.91,8.7,41.0,Healthy
205.1,2.9,2.2,3.9,0.08,0.8,3.0,Healthy
731.25,1.96428571428571,0.714285714285714,5.89285714285714,1.47633928571429,1.96428571428571,34.6428571428571,Moderate
245.0,2.8,2.9,3.5,0.0975,0.0,4.6,Healthy
1963.0,7.9,17.9,13.2,0.06,17.0,49.7,Healthy
129.0,3.1,1.8,0.4,0.14,0.3,3.1,Moderate
1549.0,19.0,2.3,9.7,0.01,8.5,73.0,Healthy
406.0,2.8,4.5,11.5,0.52,0.0,2.8,Healthy
946.0,0.0,15.0,23.0,1.175,0.0,0.0,Moderate
